Region,Country,Business Unit,Website
Americas,United States,eBay,www.ebay.com
Americas,Argentina,eBay,www.ebay.com
Americas,Mexico,eBay,www.ebay.com
Americas,Colombia,eBay,www.ebay.com
Americas,Canada,eBay,www.ebay.ca
Europe,Austria,eBay,www.ebay.at
Europe,Belgium,eBay,www.ebay.be
Europe,France,eBay,www.ebay.fr
Europe,Germany,eBay,www.ebay.de
Europe,Ireland,eBay,www.ebay.ie
Europe,Italy,eBay,www.ebay.it
Europe,Netherlands,eBay,www.ebay.nl
Europe,Spain,eBay,www.ebay.es
Europe,Switzerland,eBay,www.ebay.ch
Europe,United Kingdom,eBay,www.ebay.co.uk
APAC,Australia,eBay,www.ebay.com.au
APAC,China,eBay,www.ebay.com.cn
APAC,Hong Kong,eBay,www.ebay.com.hk
APAC,India,eBay,www.ebay.in
APAC,Malaysia,eBay,www.ebay.com.my
APAC,New Zealand,eBay,www.ebay.ph
APAC,Singapore,eBay,www.ebay.com.sg
APAC,Taiwan,eBay,www.ebay.com.tw
